Country,Neighbourhood,Government,Scientist,Journalist,Doctor_ Nurses,Philantropist,Traditional_Healers,Country_Trust_Score
Indonesia,80.38,70.82,70.11,63.41,81.09,58.64,66.59,70.15
Iran,83.55,47.31,93.32,64.53,94.31,74.44,75.05,76.07
Iraq,76.03,33.16,64.83,61.4,63.75,63.66,56.82,59.95
Ireland,87.94,80.04,91.48,74.24,94.08,84.32,44.29,79.48
Israel,76.72,49.81,91,65.76,96.8,70.03,59.57,72.81
Italy,79.82,55.3,91.78,46.43,90.19,68.9,17.89,64.33
Ivory Coast,31.17,40.57,50.42,31.24,54.34,38.38,41.68,41.11
Japan,86.37,60.94,93.92,56.31,97.19,77.06,58.26,75.72
Jordan,69.96,69.13,70.52,50.34,81.14,54.29,67.76,66.16
Kazakhstan,84.67,80.45,82.37,69.52,83.72,73.62,32.21,72.37
Kenya,58.43,46.2,60.49,69.85,72.01,63.23,34.87,57.87
Kosovo,81.31,27.77,63.55,55.58,76.49,83.47,38.15,60.90
Kyrgyzstan,89.44,61.7,72.09,66.77,85.96,74.75,50.64,71.62
Laos,81.98,94.93,89.37,89.4,96.58,88.57,85.17,89.43
Latvia,80.67,39.07,90.25,54.25,90.34,83.61,20.5,65.53
Lebanon,69.77,17.75,58.57,40.96,75.15,50.46,42.96,50.80
Lithuania,89.25,66.82,93,55.18,89.62,76.41,29.29,71.37
Malaysia,71.86,70.38,74.43,61.22,88.79,73.8,32.2,67.53
Mali,71.25,51.21,70.24,62.12,68.02,67.85,70.25,65.85
Malta,80.57,81.33,88.95,67.01,97.59,86.21,80.79,83.21
Mauritius,64.15,55.2,61.4,63.64,77.22,72.88,48.68,63.31
Mexico,67.28,55.24,84.42,55.71,88.41,58.47,21.6,61.59
Moldova,65.15,19.42,63.67,48.16,62.27,60.89,18.89,48.35
Mongolia,77.54,54.88,81.78,64.57,84.49,63.48,81.36,72.59
Montenegro,68.27,52.35,67.7,39.11,79.24,72.35,34.61,59.09
Morocco,73.75,55.99,90.02,63.85,79.89,76.62,48.42,69.79
Myanmar,78.55,94.4,87.94,72.97,94.05,78.57,48.01,79.21
Namibia,54.18,46.75,50.17,55.34,70.25,52.31,23.45,50.35
Nepal,87.83,62.03,92.58,81.49,93.88,79.69,76.42,81.99
Netherlands,93.7,84.21,92.97,81.05,97.89,85.58,43.09,82.64
New Zealand,93.92,86.58,96.05,76.62,96.87,94.02,57.98,86.01
Nicaragua,62.54,56.08,63.16,67.15,80.4,63.73,17.95,58.72
Nigeria,42.47,21.11,47.41,37,64.21,44.08,35.11,41.63
North Macedonia,66.87,40.69,60.83,46.07,73.09,59.14,47.3,56.28
Norway,96.13,96.27,98.17,87.92,99.4,91.86,45.59,87.91
Paraguay,65.66,35.87,61.79,49.54,74.29,58.26,46.74,56.02
Peru,57.42,47.04,71.24,46.39,72.64,52.04,9.95,50.96
Philippines,76.88,84,84.46,81.06,92.49,85.26,43.1,78.18
Poland,90.5,29.04,95.67,67.43,90.72,87.1,49.17,72.80
Portugal,74.77,53.59,89.82,61.62,94.15,69.78,66,72.82
Romania,77.9,29.35,86.51,54.86,80.06,72.12,38.82,62.80
Russia,76,46.14,85.55,32.39,69.66,63.33,10.95,54.86
Saudi Arabia,72.47,,78.66,,78.43,66.81,53.28,49.95
Senegal,77.53,56.61,83.33,60.88,82.45,67.63,55.08,69.07
Serbia,73.16,53.02,86.93,28.97,80.92,68.26,34.49,60.82
Slovakia,87.63,55.88,93.8,64.76,91.61,77.53,40.55,73.11
Slovenia,88.75,48.73,93.37,68.35,95.28,73.35,37.15,72.14
South Africa,49.8,52.09,63.53,55.07,85.43,68.66,48.28,60.41
South Korea,84.13,51.89,91.24,31.07,94.59,61.07,74.79,69.83
Spain,82.65,51.91,93.79,62.84,97.69,76.52,14.98,68.63
Sri Lanka,81.04,78.63,93.33,81.83,97.5,64.07,91.54,83.99
Sweden,95.29,68.88,96.74,75.08,96.29,79.24,26.01,76.79
Switzerland,86.47,93.89,94.56,83.17,97.5,80.61,61.26,85.35
